RIGOL TECHNOLOGIES,DP821A,DP8E165350191,00.01.13
Date, Time, voltage1, current1, power1, voltage2, current2, power2
2023-07-28, 17:13:09, 0.021, 0.0002, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:10, 0.021, 0.0002, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:11, 0.021, 0.0002, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:12, 0.021, 0.0002, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:13, 0.021, 0.0002, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:14, 0.021, 0.0002, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:15, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:16, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:18, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:19, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:20, 0.021, 0.0002, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:21, 0.021, 0.0002, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:22, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:23, 0.022, 0.0002, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:24, 0.021, 0.0002, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:25, 0.021, 0.0002, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:26, 0.021, 0.0002, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:27, 0.021, 0.0002, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:28, 0.021, 0.0002, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:29, 0.021, 0.0002, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:30, 0.021, 0.0002, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:32, 0.021, 0.0002, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:33, 0.021, 0.0002, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:34, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:35, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:36, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:37, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:38, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:39, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:40, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:41, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:42, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
